model_key,mileage,engine_power,fuel,paint_color,car_type,private_parking_available,has_gps,has_air_conditioning,automatic_car,has_getaround_connect,has_speed_regulator,winter_tires
Renault,119515,135,diesel,grey,estate,False,True,False,False,True,False,True
Citroën,234365,135,diesel,black,estate,True,True,False,False,True,False,True
BMW,77356,105,diesel,black,suv,False,True,False,False,False,False,True
Peugeot,181297,105,diesel,brown,estate,False,True,False,False,True,True,True
Citroën,144089,137,petrol,black,sedan,True,True,False,False,True,False,True
BMW,186120,135,diesel,black,suv,True,True,True,True,True,False,True
BMW,225760,120,diesel,beige,suv,True,True,True,True,False,False,True
Renault,164998,140,diesel,blue,estate,True,True,True,True,True,False,True
Renault,174817,135,diesel,brown,estate,True,True,True,False,True,True,True
Renault,130019,85,diesel,white,estate,False,False,False,False,False,False,False
Audi,44748,135,diesel,white,hatchback,False,False,False,False,False,False,True
Nissan,137550,100,diesel,silver,suv,True,True,False,True,True,False,True
BMW,146618,135,diesel,black,suv,True,True,False,True,False,False,True
Citroën,169449,135,diesel,brown,estate,True,False,False,False,False,False,True
Citroën,188982,120,diesel,black,estate,False,True,True,False,False,False,True
Citroën,82374,105,diesel,blue,subcompact,True,True,True,False,True,False,True
Audi,110978,230,diesel,black,estate,True,True,True,True,True,False,True
BMW,109113,190,diesel,white,suv,True,True,False,True,False,False,True
Renault,156756,120,diesel,black,estate,True,True,False,False,False,False,True
Audi,151272,160,diesel,black,estate,True,True,False,False,True,False,True
Audi,136729,155,diesel,blue,estate,True,True,False,True,False,False,True
Subaru,116679,180,diesel,black,suv,True,True,True,True,True,True,True
Peugeot,90599,135,diesel,grey,hatchback,True,False,False,True,True,False,True
BMW,149379,85,diesel,white,hatchback,False,True,False,False,True,True,True
Mitsubishi,49874,190,diesel,white,suv,True,True,False,True,True,False,True
Peugeot,177084,105,diesel,grey,estate,True,True,False,False,False,False,True
BMW,160822,105,diesel,black,suv,True,False,False,True,False,False,True
Citroën,80540,120,petrol,black,coupe,False,True,False,True,True,False,True
Peugeot,89123,142,diesel,white,hatchback,False,True,True,False,True,True,True
Peugeot,94987,105,diesel,white,estate,False,False,False,False,False,False,False
Renault,178558,120,diesel,grey,estate,True,True,False,False,False,False,True
Mitsubishi,167199,180,diesel,white,suv,True,True,True,True,True,True,True
Renault,83133,85,diesel,white,estate,False,True,False,False,False,False,True
Citroën,95208,135,diesel,grey,estate,False,True,False,False,False,False,False
PGO,134858,190,diesel,white,estate,True,True,True,False,False,False,True
Renault,130684,135,diesel,grey,estate,True,True,False,False,False,False,True
Citroën,90248,105,diesel,grey,hatchback,False,False,False,False,False,False,True
Peugeot,212836,85,diesel,silver,subcompact,False,False,False,False,False,False,True
BMW,67035,85,diesel,white,hatchback,False,False,False,False,False,False,True
Renault,122723,120,diesel,grey,estate,True,True,False,False,True,False,True
Opel,41690,140,diesel,black,hatchback,False,True,False,False,True,True,True
PGO,79812,190,diesel,grey,estate,True,True,False,False,False,True,True
Nissan,11429,85,diesel,black,suv,True,True,False,False,False,False,True
Peugeot,61347,135,diesel,white,hatchback,False,True,False,False,True,False,True
Renault,92840,140,diesel,brown,estate,True,True,False,False,True,False,True
BMW,108352,85,diesel,grey,hatchback,False,True,False,False,False,False,True
Peugeot,125758,105,diesel,white,sedan,False,False,False,False,False,False,False
Citroën,172907,120,diesel,white,sedan,False,True,False,False,True,False,False
PGO,38627,190,diesel,white,sedan,True,True,False,False,True,False,True
Peugeot,158853,100,diesel,black,estate,True,False,False,False,False,False,True
Renault,153079,85,diesel,brown,sedan,False,True,False,False,False,False,True
Renault,168104,85,diesel,blue,sedan,False,True,False,False,True,False,True
Renault,200444,140,diesel,black,estate,True,True,True,False,True,True,True
Mitsubishi,168160,160,diesel,grey,suv,True,True,False,True,True,False,True
Citroën,205873,135,diesel,black,sedan,False,True,False,True,False,False,True
Citroën,184002,100,diesel,black,hatchback,False,True,False,False,False,True,True
Subaru,295953,225,diesel,black,suv,True,True,True,True,True,False,True
Audi,377156,160,diesel,black,sedan,True,True,False,False,True,False,True
BMW,184243,130,diesel,blue,suv,True,False,True,False,False,False,True
BMW,166161,140,diesel,black,suv,True,True,False,True,True,True,True
Peugeot,132747,105,diesel,black,estate,False,True,False,False,True,False,True
Audi,192114,160,diesel,white,estate,True,True,True,True,True,False,True
Audi,25615,135,diesel,blue,sedan,False,False,False,True,False,False,True
SEAT,54433,140,diesel,white,suv,False,False,False,False,False,False,False
Peugeot,173081,100,diesel,grey,sedan,False,True,False,False,False,False,True
Peugeot,85227,100,diesel,blue,estate,True,True,False,False,True,False,True
Peugeot,243386,105,diesel,white,estate,False,True,False,False,False,False,True
BMW,155705,85,diesel,black,hatchback,False,False,True,False,False,True,True
Citroën,12634,142,diesel,grey,coupe,True,True,False,False,True,False,True
Citroën,46701,135,diesel,white,estate,False,True,False,False,False,False,True
Audi,97568,220,diesel,grey,sedan,True,True,False,False,True,True,True
Mitsubishi,14052,160,diesel,grey,suv,True,True,True,False,False,False,True
Audi,195840,160,diesel,grey,van,True,True,False,False,True,False,True
Renault,158117,85,diesel,black,sedan,False,False,False,False,False,False,True
Renault,108074,85,diesel,brown,sedan,False,True,False,False,False,False,True
Citroën,63257,110,diesel,grey,hatchback,False,True,False,False,False,False,True
Nissan,104005,135,diesel,black,suv,True,True,False,True,True,False,True
Subaru,171162,210,diesel,green,suv,True,True,True,True,True,False,True
Audi,135432,190,diesel,grey,sedan,True,True,False,True,True,False,True
Peugeot,127412,100,diesel,black,sedan,True,True,False,False,False,False,True
BMW,184574,85,diesel,blue,hatchback,False,True,False,False,False,False,True
BMW,117297,135,diesel,silver,suv,True,True,False,True,True,False,True
BMW,75197,85,diesel,blue,hatchback,True,False,False,False,False,True,True
Nissan,177291,130,diesel,white,suv,False,False,False,False,False,False,True
Audi,125738,190,diesel,white,sedan,False,True,False,False,True,True,True
Nissan,163484,85,diesel,white,suv,False,False,False,False,False,False,False
Renault,200488,85,diesel,grey,estate,False,True,False,False,False,False,True
Renault,165472,135,diesel,grey,estate,True,True,False,False,True,False,True
Nissan,70560,105,diesel,grey,suv,True,False,False,True,True,False,True
Citroën,174940,135,diesel,black,sedan,True,True,False,False,True,False,True
Citroën,243324,135,diesel,grey,sedan,True,True,False,False,True,False,True
Renault,121102,135,diesel,black,estate,True,True,True,False,True,False,True
Peugeot,105026,105,diesel,grey,estate,False,True,False,False,True,True,True
Nissan,145455,105,diesel,black,suv,False,False,False,True,False,True,True
Citroën,48520,110,diesel,white,hatchback,False,True,False,False,False,False,True
Citroën,156308,120,diesel,brown,estate,False,True,False,False,False,False,True
Peugeot,237294,100,diesel,grey,estate,True,True,False,False,False,False,True
Renault,261785,120,diesel,black,estate,True,True,True,False,True,False,True
BMW,143829,85,diesel,grey,hatchback,False,True,False,False,False,False,True
Peugeot,170550,309,petrol,grey,coupe,True,True,False,False,True,False,True
BMW,111510,100,diesel,grey,suv,True,True,False,False,True,True,True
Citroën,164299,120,diesel,black,estate,False,False,False,False,False,True,True
Audi,198941,180,diesel,grey,estate,True,True,True,False,True,False,True
Audi,159718,160,diesel,grey,sedan,True,True,False,True,True,False,True
BMW,137507,85,diesel,brown,hatchback,False,True,False,False,False,False,True
Nissan,96624,105,diesel,grey,suv,False,False,False,True,False,False,True
Citroën,188098,120,diesel,grey,sedan,True,True,False,False,True,False,True
Audi,52686,160,diesel,black,sedan,True,True,False,False,True,True,True
Renault,101599,135,diesel,grey,sedan,True,True,False,False,True,False,True
BMW,137321,190,diesel,grey,suv,True,True,True,True,True,True,True
Renault,174417,135,diesel,black,estate,False,True,False,True,True,False,True
Audi,154391,190,diesel,black,sedan,True,True,False,False,True,True,True
BMW,176983,85,diesel,silver,hatchback,False,True,False,False,False,False,True
Renault,327416,120,diesel,black,estate,True,True,False,False,True,False,True
Audi,97574,135,diesel,grey,sedan,False,True,False,True,True,True,True
BMW,149302,85,diesel,black,subcompact,False,False,False,False,False,False,True
Audi,87625,190,diesel,blue,estate,True,True,False,False,False,False,True
Mitsubishi,706,155,diesel,black,suv,True,True,False,True,True,True,True
Maserati,166286,230,diesel,brown,sedan,True,True,True,True,False,True,True
Citroën,171512,120,diesel,black,estate,True,True,False,False,False,True,True
Audi,213814,100,diesel,grey,sedan,True,True,False,False,True,True,True
Audi,190649,190,diesel,brown,sedan,True,True,False,True,True,False,True
Citroën,128360,135,diesel,brown,sedan,False,False,False,False,True,True,True
Ferrari,200887,155,diesel,silver,sedan,True,True,False,False,True,False,True
Mazda,184189,200,petrol,grey,sedan,True,True,False,False,False,False,True
BMW,73307,140,diesel,black,suv,True,True,False,True,False,False,True
Peugeot,216472,105,diesel,black,estate,True,True,False,False,True,True,True
Maserati,172367,230,diesel,grey,sedan,True,True,True,True,True,True,True
Audi,189614,160,diesel,black,estate,False,True,False,True,False,False,True
BMW,90810,120,diesel,black,suv,True,True,False,True,False,False,True
Renault,146879,85,diesel,brown,estate,False,True,False,False,False,False,True
Audi,82233,100,diesel,black,sedan,True,True,False,False,True,False,True
Nissan,75471,135,diesel,white,suv,False,False,False,False,False,False,True
BMW,185858,135,diesel,blue,suv,True,True,True,True,True,True,True
Renault,178231,77,petrol,green,sedan,False,False,False,False,False,True,True
Citroën,62856,135,diesel,blue,sedan,False,False,False,True,True,False,True
BMW,87432,135,diesel,silver,suv,False,False,False,False,False,False,False
BMW,155916,85,diesel,black,hatchback,False,True,False,False,True,False,False
Renault,163143,135,diesel,grey,sedan,True,True,False,False,False,True,True
Audi,159773,190,diesel,grey,estate,False,True,False,True,True,False,True
BMW,105298,135,diesel,grey,suv,False,False,False,False,False,False,False
Citroën,52363,110,diesel,black,hatchback,False,True,False,False,False,True,True
Citroën,190336,160,petrol,black,sedan,False,False,False,False,False,False,True
Mitsubishi,113131,230,diesel,blue,suv,True,True,False,True,False,True,True
Lexus,69146,280,diesel,black,sedan,True,True,True,True,True,False,True
